Gender,Age,Income,Access to Car? ,Overall Feeling Towards Study,Please explain how the BFF Movement has changed your walking behaviour...
Female,23,53239,No,Positive ,"I walk more, to places i will hardly go like Parks and Reservior."
Female,23,39806,No,Positive ,It has monitored how often I take walking as my main source of exercise.
Female,25,31694,No,Positive ,I have always been trying to keep a healthy lifestyle. Being a part of the BFF Movement definitely gives me more motivation to improve it.
Female,24,45651,No,Positive ,"I tried to make an effort to walk more so as to clock 10000 steps each day. For example, will walk to my lunch time venue instead of taking shuttle bus."
Female,28,37814,No,Positive ,Motivate me to work out more regularly
Female,27,33188,Yes,Positive ,will walk from MRT station to the place when the distance is not far.
Female,26,42490,No,Positive ,"Walking more, taking stairs instead of escalators"
Female,27,35427,No,Positive ,"I am more motivated to hit the targeted number of steps each day. Would even go for a run if I didn't manage to hit 10,000 by dinner time."
Female,24,43992,No,Positive ,Will track the number of steps everyday. Try to hit min of 5K steps per day if possible
Female,29,53263,Yes,Positive ,Encourage to walk more and keep active as before I will sit more.
Female,28,55169,No,Positive ,i have tried to meet the 10000 steps a day
Female,25,43320,No,Positive ,I do see myself making more deliberate effort to walk more. I will take walks around the neighbourhood and do more errands by foot. after lunch I will also walk around more instead of heading straight back to the office to sit down.
Female,28,58662,No,Positive ,It motivates me to walk more. I set walking target and try to accomplish it.
Female,29,51739,Yes,Positive ,Took e initiative to walk longer distances to reach my goals and cut down on transport for short distances.
Female,27,31774,No,Positive ,more effort to walk
Female,25,45517,No,Positive ,motivate me to walk more
Female,25,33787,No,Positive ,"To meet the daily 10000 steps, I walk more"
Female,26,45304,No,Positive ,Determined to be more active
Female,28,49368,Yes,Positive ,"Encouraged to walk more to hit the target of 10,000 steps per day by closely monitoring my step count throughout the day. I realised that made me walk more than usual."
Female,27,30481,No,Positive ,"It has encouraged me to walk me by setting specific targets for me to achieve i.e. 10,000 steps a day"
Male,29,52262,No,Positive ,Take short walk instead of bus ride daily. Walk/jogs on every weekend. Spend more time exercise n shopping instead of sitting in front of pc.
Female,25,58981,No,Positive ,Motivated me to do more walking during office hours.
Female,25,43673,No,Positive ,I try to walk more to achieve 10000 steps a day
Female,24,40617,Yes,Positive ,I started walking more to try to hit the target of min 5000 steps daily
Female,29,59654,No,Positive ,"Will tend to walk further instead of walking the short cut. At work, even though i have the option to take lift, i will walk the stairs instead."
Male,27,33742,No,Positive ,"More conscious when number of steps is very low by certain time of the day, implying the need to move more"
Female,29,41422,No,Positive ,Try to walk more than taking public transport
Female,26,40665,No,Positive ,My work needs me to walk more and it coincides with bff challenge.  I can reach my target quickly.
Female,27,41822,No,Positive ,more conscious on the number of steps taken.. take additional effort to walk more steps inorder to meet the numbers
Female,26,47721,No,Positive ,"It makes me want to take the steps instead of escalator and go for evening strolls to clock 10,000 steps per day."
Female,27,40101,No,Positive ,I choose to walk more / climb steps in order to archieve target steps every day.
Female,27,40918,No,Positive ,"It encourages me to walk more. At times, I choose to walk than to take public transport."
Female,26,35854,Yes,Positive ,Have the mind set to try and hit the 10k steps daily
Female,28,37826,No,Positive ,"motivated to walk more to achieve 10,000 steps in a day"
Female,28,51323,No,Positive ,More active in walking
Female,26,40850,Yes,Positive ,I tend to walk more often than I do.
Female,26,59293,No,Positive ,I sometimes walk instead of taking a bus to generate more steps. I run more frequently.
Female,25,46140,No,Positive ,I've started to walk / slow jog everyday
Female,26,51523,Yes,Positive ,To be constantly reminded to walk the required steps for good health.
Female,25,56219,No,Positive ,become more active
Female,29,50104,No,Positive ,It made me more conscious of tracking my steps and determined to reach the goal of hitting 10000 steps everyday.
Female,25,42896,Yes,Positive ,"Walk a few more steps when it almost reaches a check point, for instance 7,500 steps or 10,000 steps"
Female,26,41189,No,Positive ,Will try to take the stairs.
Female,27,50261,No,Positive ,Increased the steps i'm taking everyday.
Female,25,37358,No,Positive ,Take more initiative to walk more
Female,24,35396,Yes,Positive ,It had pushed me to walk more often amd drive less. I started to walk  n jog from hime to school at least once a week.
Female,24,31355,No,Positive ,more aware and increased my walking habits
Female,26,47042,No,Positive ,It enables me to walk more so as to clock more steps.
Female,24,50075,No,Positive ,I use it to monitor the calories burnt everyday
Female,27,39693,No,Positive ,It has made me more committed to walking instead of taking the escalator. e.g. my office is on the 4th level so everyday I'll take the steps instead of the lift or escalator.
Female,27,53546,No,Positive ,Motivated to stay active and walk home from office
Female,27,52552,No,Positive ,"I walk many times a day, to supermart, to exercise station, to church etc"
Female,28,59198,Yes,Positive ,Keep fit and keep walking after having this challenge.
Female,26,39380,No,Positive ,"The challenge has encouraged me to walk more to hit the 10k goal and be more aware of my diet. Everyday, i ensure that i clock in more steps than the calories That i have eaten. I feel that my lifestyle is healthier now."
Female,26,56894,No,Positive ,"It has caused me to be more aware of the length of time I walk each day, and inspired me to walk more."
Female,28,46646,No,Positive ,I am able to monitor my brisk walking time and calories burnt
Female,25,45164,No,Positive ,I walk more than I used to be and care more on my daily steps
Female,23,33315,No,Positive ,"Yes, I have become more active and aware of my physical activities."
Female,29,43643,No,Positive ,"take staircase instead escalator, walk more etc..."
Female,23,46391,Yes,Positive ,"I aim to hit at least 10,000 steps everyday. My usual number of steps for a working weekday is 7,000 steps so I have changed to using a bus stop that is further away from work to make up for the remaining 3,000 steps. I am also more active on weekends now and I would go for a walk around macritchie reservoir/ bukit timah hill when I can."
Female,27,51017,No,Positive ,"Walking is a good form of exercise, the more I walk the healthier I feel, even the leg pain also lessen."
Female,24,41623,No,Positive ,Try to walk whenever possible
Female,26,51750,No,Positive ,Be more mindful to be active during weekends.
Female,26,38933,No,Positive ,"Instead of taking the bus which is a short distance from the mrt to my office in the morning and back to mrt after work in the evening,  i decide to walk from the mrt to my office and vice versa after work."
Female,25,58541,Yes,Positive ,walk more
Female,25,36815,No,Positive ,Awareness. I am more willing to walk more and taking step on my diet to become more healthy. / I have lost more weight than I have expected when I joined the programme.
Female,23,50780,No,Positive ,"I walk to office (Kim Tian Road) from Outram MRT station every morning - about 20 - 25 mins walk. / Prior to participating in the challenge, I take a bus."
Female,24,39446,Yes,Positive ,Alight one bus stop before and walk to the destination every working day
Female,29,42356,No,Positive ,I exercise more
Female,29,44345,No,Positive ,Walk more. Take feeder bus less
Female,29,34829,Yes,Positive ,It helps to spur me to hit my 10K steps daily
Female,25,57262,No,Positive ,More conscious on my health
Female,27,54465,No,Positive ,Consciously tries to walk or exercise more
Female,25,34458,No,Positive ,Make me walk more
Female,26,33667,No,Positive ,"Placed a goal to be achieved, resulting in greater physical activities."
Female,29,30766,No,Positive ,More committed to achieving the required challenges. My wife is also taking the walking targets and it has become a regular focus point for both of us. Feels more energetic and livelier.
Female,25,49173,No,Positive ,I took it like a challenge to complete the steps every day.This is one of my routine work in my daily activities.
Female,26,44657,Yes,Positive ,Motivate to walk more
Female,25,40819,No,Positive ,I will take longer walk each day and run more regularly
Female,29,39146,No,Positive ,I will take a more conscious effort in choosing to walk e.g. taking the stairs instead of lift.
Female,27,35881,No,Positive ,I am willing to walk for a longer distance in order to capture more readings
Female,24,49619,No,Positive ,It has encouraged me to aspire to hit at least 10000 steps per day
Female,24,44801,Yes,Positive ,More motivated to strive to meet target
Female,28,56566,No,Positive ,More conscious on whether targeted steps have been achieved daily
Female,25,44692,No,Positive ,Make me aware of what i hv achieved from walking. Noted the actual number of daily steps walked. Encourages me to do more walk. Feel disappointed if i did not do well.
Female,29,32910,No,Positive ,I have tried walk up and down the stairs instead of taking the lifts to achieve target.
Female,24,57207,yes,Positive ,Motivate me to walk instead of taking transport
Female,23,51870,No,Positive ,walk more to reach goal
Female,27,57284,No,Positive ,I am very cautious of the number of steps I walk each day. Strived to achieve 10k steps per day to get to the goal.
Female,25,32328,Yes,Positive ,"Instead of taking a bus to mrt station, i start walking to the place and also tend to take the staircase instead of lift in office."
Female,23,38872,No,Positive ,It encourages me to walk more everyday even just for a short distance instead of taking public transport.
Female,29,44397,No,Positive ,Regular exercise
Female,26,33037,No,Positive ,"It has definitely encouraged me to walk more and take note of how frequent I had been walking. Having a desk-bound job had reduced my frequency of walking in the past. However, it was more noticeable with the pedometer watch. On days when I walked more, I felt better and healthier. When I started to observe this, I made it a habit to stand up to take more short breaks walking. I had even switched my water bottle to a smaller one so I would get up to walk to the office pantry more often to refill."
Female,28,58197,No,Positive ,I enjoy walking more than ever after participated in the bff challenge.
Female,25,52818,No,Positive ,Walking more than before
Female,26,33980,No,Positive ,More conscious of the distance covered.
Female,27,47854,Yes,Positive ,"Make it a point to at least walk 10,00 steps per day beside some other exercises, also gave me a challenge to myself for health sake"
Female,25,31474,No,Positive ,I'm more purposeful in walking daily.
Female,25,50186,No,Positive ,My lifestyle has changed tremendously which includes more walking in my daily routine and I am encouraged by the step tracker which makes me wanting to do more.
Female,26,30734,No,Positive ,be more active
Female,29,30631,No,Positive ,It encouraged me to walk instead of taking the bus for short distances in order to accumulate points to redeem vouchers.
Female,26,45989,No,Positive ,I make more effort to walk now than before.
Female,23,52881,Yes,Positive ,I will take the stairs and not wait for lift. I will walk distance of 1 bus stop or 1 lrt station and not take bus which is what I do usually.
Female,29,57701,No,Positive ,"It helped me keep track of the number of steps I took everyday and I make an effort to walk at least 10,000 steps every day."
Female,28,59875,No,Positive ,Walking more to get to 10k steps
Female,26,36646,No,Positive ,Trying to hit 10000 per day
Female,28,34119,No,Positive ,Challenge myself to walk more and use less of other means of transportation. Walking the last mile to the destination instead of taking public transport
Female,28,36950,No,Positive ,I tend to walk instead of taking the bus when I have a choice of both.
Female,29,30369,Yes,Positive ,made me walk from bus stop to bus stop instead of taking bus
Female,29,42942,No,Positive ,walk more
Female,28,35613,No,Positive ,It encouraged me to walk more and to take note of my eating habits.
Female,25,47222,No,Positive ,"i always make sure that i can cross more than 5k everyday and in order to achive it, i had to walk more."
Female,28,57419,No,Positive ,Overall an increase in walking and exercising frequency so that incentive can be received. More motivation to carry out activities that can increase step counts.
Female,27,44626,No,Positive ,Walking 10000 steps everyday. Being active. Focus more on fitness
Female,24,47587,No,Positive ,I make a conscious effort to walk more. I alight one stop before my destination so I can clock in more steps.
Female,26,38685,Yes,Positive ,"Discipline in my exercise routine, to clock 10,000 steps per day is an achievement and conscientious effort for healthier lifestye./"
Female,25,53568,No,Positive ,I will tend to walk a longer route or walk to school to complete my challenge
Female,25,33831,No,Positive ,"Nothing much changed, but on days where I am hitting close to 10,000 steps, I will deliberately walk around the house or even walk on the spot to try to clock to 10,000 steps!"
Female,26,55334,No,Positive ,"Well, it definitely change my daily life trying to walk or jog more trying everyday on hit 10000 step"
Female,24,47907,No,Positive ,I will try to walk more often now.
Female,28,40305,No,Positive ,"I UNDERSTAND BFF Movement GAVE ME A HEALTHY LIFESTYLE. / I WILL CONTINUE TO ACHIEVE THE 10000 STEP IN MY DAILY LIFE. / IN ORDER TO ACHIVE 10000 STEP AND MORE. I HAVE TO BE DISCIPLINE WITH MY EXCERCISE, EG JOGGING, WALKING AND DOING HOUSEWORK."
Female,25,35534,No,Positive ,I make sure i have 10K - 15K steps daily.
Female,23,33543,Yes,Positive ,More conscientious to make walking part of my lifestyle
Female,24,43624,No,Positive ,"consciously try to achieve at least 10,000 steps a day"
Female,25,34683,No,Positive ,I will try to walk more whenever there is opportunity to do so.
Female,26,35647,No,Positive ,Committed to walk up to 10000 steps per day.
Female,28,37089,No,Positive ,"I prefer to take the stairs rather than take lifts or escalator whenever possible.  For distance of up to one mrt station away, I would walk instead.  If I do not need to carry heavy groceries, I  would walk to get my groceries instead of driving."
Female,27,41385,Yes,Positive ,"I have made a conscious effort to clock at least 10,000 steps on a daily basis."
Female,27,38332,No,Positive ,"Before I got the Steps Tracker, I was not able to monitor how much have I walked. After I got it, I became aware of my walking activity and am more motivated to complete at least 10000 steps each day. On top of that, it has also enabled me to gauge my runs as well."
Female,27,53617,No,Positive ,"Im now walking exercising intentionally at least 3 times a week, walking/running for an average of 1 hr."
Female,27,34499,No,Positive ,"After participate the bff challenge, I start to cultivate a habit to record my calories in take to monitor my calories burnt."
Female,24,52668,No,Positive ,"Am now conscious of the need to achieve the 10,000 steps for my daily exercise requirement. This monitoring drives me to make the effort to be mobile to have the required exercise. My motivation tool."
Female,26,33813,No,Positive ,I will take an effort to walk more
Female,27,33831,No,Positive ,Tend to walk more (e.g. walk 1 MRT stop instead of take MRT for 1 stop)
Female,29,37819,No,Positive ,It has made me my conscious of how a little change in modes affect my steps.
Female,29,41548,Yes,Positive ,Have increased more in daily walking as well as exercise.
Female,23,50788,No,Positive ,"Walking more and exercises more, take lesser escalators and lift."
Female,26,47690,No,Positive ,learn to move about more frequently
Female,24,40071,No,Positive ,I do more brisk walking nowadays
Female,23,39504,No,Positive ,"I avoid walking too much before. Now I sought of go out to achieve a certain number of steps each day doing errands, shopping, marketing etc"
Female,25,41957,No,Positive ,"There is a conscious effort of obtaining at least 10,000 steps per day."
Female,26,45669,No,Positive ,More active
Female,25,59033,No,Positive ,Encouraged to walk more
Female,25,36448,No,Positive ,It encourages me to walk more often then my usual habit.
Female,25,36224,No,Positive ,I would like to monitor the steps every day because of the steps tracker watch and make it habit to meet 10000 steps per day.
Female,28,56220,Yes,Positive ,I walked more to get more steps in the Steps Tracker. I also got up during TV commercials and did more gardening. I got more active by walking to the market more.
Female,29,53539,No,Positive ,"Ever since taking up the bff challenge, I have clocked more steps everyday. Often, instead of standing still on the escalator, I walk up in order to clock more steps. My job is desk bound but now I deliberately make the effort to get up every 30-45 minutes to go to the pantry or just to move around."
Female,24,53573,No,Positive ,"I have walked more in order to hit the next level (5000, 7500, 10000) of steps."
Female,28,54063,No,Positive ,I will take walking as my priority if the distance is allow me to do so rather than take a short distance public transport.
Female,27,55824,No,Positive ,Walk more in order to clock 10000
Female,25,56012,Yes,Positive ,encourage more walking because of ability to track steps taken
Female,28,31085,No,Positive ,Know well the daily waking distance and set the target to achive
Female,25,57517,No,Positive ,Getting into habit of walking more wherever free.
Female,25,32065,No,Positive ,"It help me to maintain at least 10,000 steps a day and keep healthly"
Female,25,32445,No,Positive ,I'm everyday to check got reach 10000 step or not. if not i will do more exercise to achieve it.
Female,23,41436,No,Positive ,Walk more
Female,27,34840,No,Positive ,Will walk more to fulfill target if missing just maybe a thousand steps
Female,26,49024,No,Positive ,To be motivated on walking more than usual
Female,25,38539,No,Positive ,I am exercise more regularly
Female,25,56103,No,Positive ,"It helps me track how active I have been for the day, and motivates me to move more to keep an active lifestyle. For example, if I haven't reached the target of 10000 steps and I have an option to go somewhere thru walking or public transport, I would choose to walk."
Female,29,57186,No,Positive ,"I was motivated to walk more than 10,000 steps a day."
Female,23,41859,No,Positive ,i'm more encourage to take up more walking to clock more steps to meet the challenge requirements
Female,26,48205,Yes,Positive ,I become more conscious and look to increase my step count.
Female,26,31540,No,Positive ,it had motivated to hit 10k a day by jogging/ running/ brisk walking.
Female,29,32350,No,Positive ,Make more effort to walk rather than taking bus when distance is 1 to 2 bus stop away.
Female,29,34893,No,Positive ,Encouraged to walk up the stairs
Female,28,38149,No,Positive ,More discipline in monitoring my walking activity and exercise regime.
Female,29,37370,No,Positive ,"i monitor how much distance i walked everyday. I try to meet the 10,000 steps as recommended by HPB"
Female,26,58001,No,Positive ,Having the pedometer has inspired to meet the goal of 10000 step daily and will take the stairs instead of the elevator
Female,28,45044,No,Positive ,It encourage me to have regular walk daily
Female,27,49745,No,Positive ,It keep me in mind the steps to be taken and be healthy
Female,27,37385,No,Positive ,I am consciously walking more often and changing my lifestyle to a more active one
Female,28,34366,No,Positive ,Motivation to walk more.
Female,29,49938,No,Positive ,I would like to walk more to hit 10000 steps a day.
Female,27,46904,No,Positive ,Makes me more conscious on keeping fit.
Female,24,51482,No,Positive ,Exercise more often and will wear the watch on daily basis.
Female,29,53851,No,Positive ,"More conscious about the number of steps walked, would try to hit 10,000 steps everyday"
Female,27,47548,No,Positive ,I'm more conscious about the number of steps I take daily
Female,26,56162,No,Positive ,It motivated me to walk more.
Female,28,54080,No,Positive ,"I used to be very lazy to move my butt. Ever since, I have the stepper watch, I make it a point that I walk as much to hit the target mark daily."
Female,26,32511,Yes,Positive ,"With this challenge , if possible I will walk the stairs instead of taking the lift . I tend to exercise more regularly ."
Female,29,31672,No,Positive ,I would tend to strive to clock more than 10k steps aday and also do more exercise
Female,27,32684,No,Positive ,It serves as a reminder and encourages me to walk at least 10000 steps a day
Female,26,52134,No,Positive ,I usually would go for a walk if I did not hit the ideal steps I should reached every day. It is more motivated to go for walk as I know how many steps I walked. / I am definitely walking much more now.
Female,26,55895,No,Positive ,I try to walk to my destination as much as possible and try not to drive and take public transport.
Female,26,45120,No,Positive ,Its a useful tool to monitor how much i have walked in a day.  I didn't change much in terms of walking behavior but i am more aware of the distance and energy required when walking from point to point.
Female,26,43408,Yes,Positive ,I become more aware of the numbers of steps I take per day. I strive to achieve 10k steps per day.
Male,29,43307,No,Positive ,"Instead of taking lift, I'll climb stairs to gain more steps clocked."
Female,26,39162,No,Positive ,"try to achieve 10,000 step a day."
Female,27,59903,Yes,Positive ,Being more conscious on no. of steps to and fro from home and workplace. Making deliberate effort in accumulating more steps in achieving the 10000 steps.
Male,25,46020,No,Positive ,It's a highly motivating campaign to achieve daily walking goals to stay active and healthy.
Female,26,42411,No,Positive ,It has encouraged me to make a conscious effort to take more steps daily.
Female,23,38980,No,Positive ,I encouraged me to walk more
Female,26,41305,No,Positive ,"I started counting the steps that I walked everyday. I became conscious of activities that will let me clock more steps, like taking stairs instead of escalator/lift. I am also more open to walking to reach a certain destination e.g when I am shopping in orchard road, in the past I might just take a mrt or bus if I need to travel from dohby gaut to somerset. but with this bff challenge, I am motivated to walk! Because me and my friends have the trackers, we don't mind the walk because we can chat while we clock our steps."
Female,26,50001,No,Positive ,Aware of the benefits of walking & daily steps that I walk daily
Female,24,41681,No,Positive ,I will walk a bit more if I am reaching 10000 steps for the day.
Female,29,42137,No,Positive ,It has made me more aware of how little I walk.  I take the stairs more often instead of the lift.
Female,27,50147,No,Positive ,The walking had brighten up my life as i managed to enjoy the surrounding through walking.
Female,27,43426,No,Positive ,"After joining the bff challenge, I have been encouraged to walk more everyday, to hit the daily target of 10,000 steps."
Male,28,47977,No,Positive ,BFF Movement encourage me to walk to destinations like malls instead of taking the car and also walk for 45 minutes after dinners daily.....
Female,27,43339,Yes,Positive ,Walk/exercise more than before joining the study
Female,23,35073,No,Positive ,"will have the reason to walk more so that I can reach the minimum steps of 10,000"
Female,25,36751,No,Positive ,Walk more when near the next level of points
Female,29,47506,No,Positive ,"Yes, I always try to walk and clock at lease 10,00 steps at day after joining the bff challenge.  It may be more wary of the need to walk."
Female,25,32150,No,Positive ,Just move a lot
Female,29,54222,No,Positive ,I try to walk everyday instead of alternate days
Female,26,42276,No,Positive ,More committed to walk. More regular than previous.
Female,27,56144,No,Positive ,walking to MRT station for work and walking home from MRT station after work.
Female,52,45398,No,Positive ,More aware of how much I have walked a day. More motivation.
Female,29,52297,No,Positive ,I have walked more every day with the BFF Movement which allows me to  exercise and keep myself healthy daily. I would travel to one place by walking if it is manageable for me instead to driving the car.
Female,28,47840,No,Positive ,It sets up a target distance for me when walking
Female,28,46082,No,Positive ,"The bff challenge has changed my walking behaviour because now there are much more incentive to travel more on foot, be it because of the monetary value attached to the different tiers (1/2/3) that the individual hit upon successfully completing what was required, or simply because I wanted to try this new initiative with both my fanily member and my best of friends.  /  / At the end of the day, I managed to stay committed to hitting the Tier 3 of the HPB bff challenge, and even took it a 'step' further by signing up for a secondary challenge know as the LTW' Lose to Win Programme on the same day of registration at HPB Singapore (SGH) itself when I went to collect the step tracker. I managed to successfully lose 2kg (from 80kg - 78kg), and again won myself the incentive to keep fit as the days past thanks to this little device and the great feeling of making a small difference each day. (I even cleared my IPPT because each night I do abit of jogging) /  / Since that day of collection, I've decided that why not give each day a chance to do something healthy while I'm out and about. Whenever I'm outside I do an extra bit of walking around, stopping one bus stop earlier to walk abit was an interesting way of getting to know my surroundings better, and many funny ways to clock more steps to hit a conistent 10k steps as best as I can.  /  / The only thing us wearers of the Step Tracker is really to ensure that the device is charged (went of once walking for half an hour only to realise that there was no battery) / dont ever leave them at home when we go to work or out for a jog / and most certainly keep it in good condition.  /  / Overall, I find this an enriching experience because it has encouraged me to literally go the extra distance to walk up and down the steps as I travel to and fro places in our lovely Singapore. I'm an Avid Runner and have brought along this pair of lasting watch (remember to charge 10mins, once a week) for the previous few marathons I've took part in (i.e. recent 50 hours non stop run at bedok reservoir, 43km / railway run from bukit timah to tanjong pagar rail station, 10km / my photography trip, etc).  /  / I DO HOPE I CAN CONTRIBUTE TO THIS LTA-HPB-NUS Walking Study / Research and if I may, would like to really sign myself up to see if I can see to making this more beneficial to the rest of those around me. /  / Keeping Healthy is a choice we must all make, be it with or without incentive (of course now with this, we should not have any other reason not to. Heh) /  / - Terence (I'm also quite happy cause I registered the moment the news came out, even got my steptracker for free because i registered super early for this)"
Female,23,54251,Yes,Positive ,Try to walk more towards the end of the day to hit the target.
Female,29,43707,No,Positive ,Try to chalk up more steps
Female,26,32614,No,Positive ,I consciously walk more.
Female,28,39524,No,Positive ,I will make conscious effort to walk longer distance as compared to taking bus for a short journey.
Female,52,55863,No,Positive ,Motivate me to walk more
Female,25,50787,No,Positive ,It moltivated me to want to walk more to hit certain targets ~
Female,29,31651,No,Positive ,I am encouraged to take a walk more often than before.
Female,24,51991,No,Positive ,I enjoyed walking everyday.
Male,26,52508,No,Positive ,Taking a more conscious effort in walking as a means of exercise.
Female,24,54766,No,Positive ,Become one of my hobbies.
Female,24,56073,Yes,Positive ,Be more willing to walk and climb staircases
Male,23,37949,No,Positive ,"I find it fun to clock the 12,000 steps daily so I will detour a longer way to walk more"
Female,53,36470,No,Positive ,"More conscious of number of steps taken daily. Ensure that I'll meet the minimum 10k steps per day. Besides daily runs, I also made effort to walk 15-20 mins after lunch."
Male,26,59592,No,Positive ,Walk more to places rather than take transport
Female,25,58020,No,Positive ,I m more conscious regarding exercise
Female,26,54674,No,Positive ,Walk extra in order to meet the 10k steps per day target.
Male,55,37484,No,Positive ,i dont mind walking more to clock in more steps
Female,29,55135,No,Positive ,I make myself walk more.
Male,29,59201,No,Positive ,"I am making a conscious effort to clock 10,000 steps everyday with the launch of the NSC programme, which is good for my health"
Female,27,44201,No,Positive ,Made me walk more by wanting to achieve the 10000 steps
Female,25,48940,No,Positive ,I am more likely to take the stairs than the lift or escalator and I no longer always opt for the shortest walking route.
Female,28,40106,Yes,Positive ,"My conscious of how much I walk in a day - for example if nearing the end of the day I haven't hit the target, I'll get off one stop earlier on the bus or walk home from the train station."
Female,27,54346,No,Positive ,Now I am more conscious of the number of steps I walk each day.
Male,26,42742,No,Positive ,It has spurred me to walk more as I have a tangible way of keeping track.
Female,25,44769,No,Positive ,Joining the BFF Movement made me consciously walk more than I usually did in order to reach the goal for the day. It pushed me to go downstairs for a walk even when I'd usually be in front of the TV for the night.
Female,29,34418,No,Positive ,"The BFF Movement has given me the incentive to walk and achieve at least 10,000 steps every day.  I have lost some body weight because of the Challenge."
Female,28,48661,No,Positive ,It has constantly reminded one to walk and provided an extra incentive to walk more given the challenge and prize at the end.
Female,24,48052,Yes,Positive ,"I make an effort to use the stairs instead of the lift, and to walk to nearby places instead of taking the car or public transport."
Female,27,50106,No,Positive ,Motivated me to walk more everyday.
Female,23,43106,No,Positive ,Try to walk as much as I can.
Female,29,39965,No,Positive ,I walked more than taking public transport
Male,26,48354,Yes,Positive ,"By knowing the no.of steps I walk, I will try to walk more to make it to 10,000 each day"
Female,28,32915,No,Positive ,It gave me extra motivation to do more exercise like jogging.
Female,27,32418,No,Positive ,"Will try to ensure that i clocked 10,000 steps daily"
Female,63,56435,No,Positive ,"Former I usually walked only once per week, when I have attended  bff challenge challenge I  walk at least five times per  week and 10000 step once because the challenge.  Now I feel myself get younger.  I really like the bff challenge Step Challenge."